codigoine;concello;"1991";"2001";"2011"
15006;Arzúa;7016;6633;6304
15010;Boimorto;2999;2522;2199
15066;Pino, O;5281;4868;4711
15085;Touro;5029;4776;4028
15011;Boiro;17665;17748;19088
15067;Pobra do Caramiñal, A;10390;9972;9637
15072;Rianxo;12744;11682;11706
15073;Ribeira;25285;26086;27742
15007;Baña, A;5864;4800;3972
15056;Negreira;6679;6592;7074
15014;Cabana de Bergantiños;6291;5563;4747
15019;Carballo;26033;28142;31292
15029;Coristanco;9334;7962;6982
15041;Laracha, A;10521;10596;11322
15040;Laxe;3479;3566;3319
15043;Malpica;7950;7042;6044
15068;Ponteceso;8035;6906;6065
15003;Aranga;2506;2314;2070
15009;Betanzos;11930;12510;13539
15026;Cesuras;2977;2551;2187
15027;Coirós;1597;1576;1759
15032;Curtis;4660;4405;4161
15039;Irixoa;1914;1655;1501
15048;Miño;5074;4970;5682
15063;Oza dos Ríos;3338;3151;3220
15064;Paderne;2903;2709;2592
15091;Vilarmaior;1448;1365;1263
15090;Vilasantar;1896;1597;1357
15001;Abegondo;5466;5729;5699
15005;Arteixo;17931;23306;30630
15008;Bergondo;5392;6223;6692
15017;Cambre;12330;19262;23822
15021;Carral;5229;5236;6129
15030;Coruña, A;246953;236379;245053
15031;Culleredo;14631;22348;29382
15058;Oleiros;18480;27252;34220
15075;Sada;8935;11464;14854
15015;Cabanas;3074;3354;3297
15018;Capela, A;1741;1530;1373
15050;Monfero;3008;2562;2139
15069;Pontedeume;8817;8696;8305
15070;Pontes de García Rodríguez, As;13350;12097;11021
15004;Ares;4511;5003;5774
15022;Cedeira;7673;7500;7268
15035;Fene;14989;14496;13807
15036;Ferrol;83045;77950;71690
15049;Moeche;1763;1489;1358
15051;Mugardos;6668;5718;5472
15054;Narón;31594;32204;39074
15055;Neda;6456;5958;5429
15076;San Sadurniño;3781;3220;3085
15081;Somozas, As;1682;1396;1281
15087;Valdoviño;7008;6805;6873
15023;Cee;7109;7164;7856
15028;Corcubión;2102;1966;1720
15034;Dumbría;5028;4260;3317
15037;Fisterra;5477;5132;4958
15052;Muxía;6725;6040;5267
15020;Carnota;6795;5480;4626
15053;Muros;11255;10156;9445
15042;Lousame;4667;4077;3634
15057;Noia;14893;14217;14751
15062;Outes;9273;8202;7177
15071;Porto do Son;10709;10132;9695
15024;Cerceda;7015;5390;5339
15038;Frades;3333;3006;2578
15047;Mesía;3684;3296;2874
15059;Ordes;11704;11963;12945
15060;Oroso;3779;5530;7269
15084;Tordoia;5847;4847;3951
15086;Trazo;4282;3720;3407
15901;Cariño;5514;4844;4374
15025;Cerdido;1908;1568;1304
15044;Mañón;2242;1870;1541
15061;Ortigueira;9925;8172;6697
15002;Ames;10011;18782;29106
15012;Boqueixón;4230;4267;4411
15013;Brión;6375;6233;7373
15078;Santiago de Compostela;87807;90188;95397
15082;Teo;12607;15476;18472
15088;Val do Dubra;5351;4765;4221
15089;Vedra;5051;5031;5030
15033;Dodro;3514;3210;2987
15065;Padrón;10019;8841;8904
15074;Rois;5643;5117;4876
15046;Melide;8304;7818;7466
15079;Santiso;2480;2266;1847
15080;Sobrado;2894;2402;2055
15083;Toques;1956;1580;1309
15016;Camariñas;7410;6421;6075
15092;Vimianzo;9639;8542;7989
15093;Zas;6611;6057;5119
15045;Mazaricos;7014;5769;4558
15077;Santa Comba;11439;10794;10076
27901;Baralla;3868;3305;2833
27006;Becerreá;4126;3472;3082
27012;Cervantes;2604;2135;1598
27034;Navia de Suarna;2303;1872;1341
27037;Nogais, As;1956;1552;1300
27045;Pedrafita do Cebreiro;2144;1552;1201
27009;Carballedo;4197;3080;2537
27016;Chantada;10184;9401;8739
27060;Taboada;5104;3845;3225
27004;Baleira;2185;1834;1463
27018;Fonsagrada, A;6986;5082;4192
27035;Negueira de Muñiz;339;259;212
27011;Castroverde;3945;3378;2882
27014;Corgo, O;4806;4280;3822
27020;Friol;5152;4685;4131
27023;Guntín;4005;3423;3026
27028;Lugo;83242;88414;98001
27039;Outeiro de Rei;4213;4447;5025
27049;Portomarín;2237;2008;1691
27056;Rábade;1751;1583;1676
27002;Alfoz;2690;2382;2022
27902;Burela;-;8161;9555
27019;Foz;9785;9488;9962
27027;Lourenzá;3148;2776;2401
27030;Mondoñedo;5843;5007;4194
27063;Valadouro, O;2815;2377;2127
27013;Cervo;12750;4936;4498
27038;Ourol;1959;1445;1146
27064;Vicedo, O;2706;2194;1893
27066;Viveiro;15098;15240;16076
27025;Xove;3539;3547;3502
27005;Barreiros;3801;3346;3134
27048;Pontenova, A;3781;3238;2677
27051;Ribadeo;8894;9035;9972
27061;Trabada;2046;1591;1268
27029;Meira;1874;1798;1784
27046;Pol;2456;2058;1794
27053;Ribeira de Piquín;1084;837;635
27054;Riotorto;2257;1799;1450
27017;Folgoso do Courel;1924;1498;1170
27050;Quiroga;5150;4169;3582
27052;Ribas de Sil;1689;1371;1061
27024;Incio, O;2920;2427;1882
27026;Láncara;3588;3186;2869
27042;Paradela;3226;2545;2038
27043;Páramo, O;2106;1907;1553
27055;Samos;2413;2057;1566
27057;Sarria;12611;12887;13436
27062;Triacastela;1068;873;754
27001;Abadín;4100;3399;2764
27007;Begonte;4606;3674;3317
27010;Castro de Rei;5879;5850;5428
27015;Cospeito;6474;5658;5072
27022;Guitiriz;6984;6259;5676
27033;Muras;1437;1044;756
27044;Pastoriza, A;4492;3959;3403
27065;Vilalba;16110;15365;15042
27021;Xermade;3134;2553;2105
27008;Bóveda;2345;1949;1592
27031;Monforte de Lemos;20318;19091;19486
27041;Pantón;4062;3341;2868
27047;Pobra do Brollón, A;3272;2557;1979
27058;Saviñao, O;5883;5010;4321
27059;Sober;3789;3014;2455
27003;Antas de Ulla;3319;2695;2223
27032;Monterroso;4577;4235;3951
27040;Palas de Rei;5016;4213;3654
32001;Allariz;5323;5125;6003
32007;Baños de Molgas;3169;2147;1778
32043;Maceda;3400;3241;3108
32055;Paderne de Allariz;1820;1667;1588
32036;Xunqueira de Ambía;2358;2004;1657
32037;Xunqueira de Espadanedo;1216;1065;891
32006;Bande;2818;2422;1956
32030;Entrimo;1696;1442;1361
32041;Lobeira;1468;1193;917
32042;Lobios;3266;2623;2097
32051;Muíños;2332;2015;1736
32011;Beariz;1883;1490;1202
32013;Boborás;3888;3313;2832
32019;Carballiño, O;11134;12521;14103
32035;Irixo, O;2547;2154;1670
32045;Maside;3648;3253;2984
32061;Piñor;1854;1552;1328
32065;Punxín;1054;937;799
32074;San Amaro;1647;1431;1235
32076;San Cristovo de Cea;3814;3081;2554
32005;Baltar;1867;1233;1038
32012;Blancos, Os;1272;1190;998
32016;Calvos de Randín;2044;1240;1065
32062;Porqueira;1311;1144;997
32067;Rairiz de Veiga;2368;1799;1591
32077;Sandiás;1944;1670;1344
32078;Sarreaus;2684;1789;1408
32082;Trasmiras;2306;1829;1528
32089;Vilar de Barrio;2633;1974;1572
32090;Vilar de Santos;1495;986;921
32032;Xinzo de Limia;9170;9519;10311
32002;Amoeiro;2329;2298;2292
32008;Barbadás;3851;6768;10025
32026;Coles;3226;3171;3157
32031;Esgos;1468;1294;1194
32052;Nogueira de Ramuín;2802;2531;2337
32054;Ourense;102758;107510;107314
32058;Pereiro de Aguiar;4711;5292;6261
32059;Peroxa, A;2871;2557;2096
32075;San Cibrao das Viñas;3322;3669;4689
32079;Taboadela;1871;1718;1638
32081;Toén;2760;2511;2558
32087;Vilamarín;2286;2194;2125
32003;Arnoia, A;1096;1187;1051
32004;Avión;3549;2775;2371
32010;Beade;885;600;498
32018;Carballeda de Avia;1888;1589;1485
32022;Castrelo de Miño;3605;2034;1755
32025;Cenlle;1917;1586;1327
32027;Cortegada;1605;1414;1280
32040;Leiro;2240;1949;1760
32046;Melón;1784;1504;1484
32069;Ribadavia;6086;5397;5318
32023;Castro Caldelas;2111;1834;1471
32049;Montederramo;1523;1206;900
32057;Parada de Sil;1088;841;646
32080;Teixeira, A;743;567;424
32014;Bola, A;1772;1527;1397
32020;Cartelle;4125;3732;3176
32024;Celanova;5983;5993;5781
32033;Gomesende;1433;1115;915
32047;Merca, A;2747;2419;2203
32056;Padrenda;2919;2588;2169
32064;Pontedeva;862;679;645
32066;Quintela de Leirado;1047;881;717
32068;Ramirás;2156;2065;1814
32084;Verea;1845;1395;1159
32029;Chandrexa de Queixa;1100;844;590
32044;Manzaneda;1620;1198;1003
32063;Pobra de Trives, A;3110;2756;2396
32070;San Xoán de Río;1363;932;692
32009;Barco de Valdeorras, O;10495;12959;14037
32015;Bolo, O;1918;1327;1080
32017;Carballeda de Valdeorras;2697;2129;1744
32038;Larouco;693;588;532
32060;Petín;1312;1131;983
32072;Rúa, A;5051;5041;4665
32073;Rubiá;2220;1734;1557
32083;Veiga, A;1748;1367;1035
32088;Vilamartín de Valdeorras;2554;2457;1972
32021;Castrelo do Val;1463;1284;1160
32028;Cualedro;2658;2391;1930
32039;Laza;2366;1904;1538
32050;Monterrei;3721;3314;2917
32053;Oímbra;2095;1996;1969
32071;Riós;2577;2132;1800
32085;Verín;11279;12917;14466
32091;Vilardevós;3264;2803;2118
32034;Gudiña, A;2037;1682;1466
32048;Mezquita, A;1849;1429;1214
32086;Viana do Bolo;4672;3893;3189
32092;Vilariño de Conso;936;799;638
36023;Guarda, A;10091;9835;10419
36036;Oia;3160;2995;3100
36048;Rosal, O;5777;5923;6519
36054;Tomiño;10223;11371;13645
36055;Tui;15242;16042;17295
36005;Caldas de Reis;9176;9477;10013
36010;Catoira;3653;3451;3499
36015;Cuntis;6080;5530;4998
36032;Moraña;4870;4285;4410
36044;Pontecesures;2794;2940;3132
36040;Portas;3326;3205;3073
36056;Valga;6269;6196;6051
36030;Mondariz;6723;5185;4847
36031;Mondariz-Balneario;629;693;678
36034;Neves, As;5371;4478;4280
36042;Ponteareas;15731;19011;23295
36050;Salvaterra de Miño;8915;8073;9542
36020;Agolada;5049;3882;2773
36016;Dozón;2800;1710;1271
36024;Lalín;20360;19869;20326
36047;Rodeiro;4956;4229;2920
36052;Silleda;10021;9089;9108
36059;Vila de Cruces;7481;6928;6073
36004;Bueu;12509;12350;12339
36008;Cangas;22758;23981;26332
36026;Marín;24045;24997;25357
36029;Moaña;17453;17887;19277
36001;Arbo;5053;3742;3130
36009;Cañiza, A;8025;7194;5471
36013;Covelo;4440;3743;2880
36014;Crecente;4083;2677;2345
36002;Barro;3633;3468;3713
36007;Campo Lameiro;2662;2235;2017
36012;Cotobade;5520;4687;4395
36025;Lama, A;3304;2947;2891
36041;Poio;13035;14271;16642
36043;Ponte Caldelas;7833;5921;5738
36038;Pontevedra;71491;74942;82346
36058;Vilaboa;5806;5735;6033
36006;Cambados;12668;13385;14038
36022;Grove, O;10739;11039;11265
36901;Illa de Arousa, A;-;4870;4975
36027;Meaño;5313;5426;5451
36028;Meis;5102;5017;4939
36046;Ribadumia;4013;4161;5147
36051;Sanxenxo;15043;16098;17560
36060;Vilagarcía de Arousa;32170;33496;37493
36061;Vilanova de Arousa;15162;10333;10600
36011;Cerdedo;3788;2300;1850
36017;Estrada, A;22391;22308;21626
36018;Forcarei;5873;4801;3934
36003;Baiona;10122;10931;11940
36019;Fornelos de Montes;2478;2066;1900
36021;Gondomar;10551;12176;14086
36033;Mos;13435;14127;15194
36035;Nigrán;14182;16110;17870
36037;Pazos de Borbén;3500;3052;3148
36039;Porriño, O;15175;15960;18033
36045;Redondela;28014;29003;29947
36049;Salceda de Caselas;5713;6335;8810
36053;Soutomaior;4959;5405;7274
36057;Vigo;276109;280186;295623
