codigoine;nome;"sup1996"
15006;Arz?a;155,4
15010;Boimorto;82,4
15066;Pino, O;131,9
15085;Touro;115,3
15011;Boiro;86,6
15067;Pobra do Carami?al, A;32,4
15072;Rianxo;58,8
15073;Ribeira;69,0
15007;Ba?a, A;98,0
15056;Negreira;115,1
15014;Cabana de Berganti?os;100,3
15019;Carballo;186,8
15029;Coristanco;141,1
15041;Laracha, A;125,8
15040;Laxe;36,9
15043;Malpica;61,4
15068;Ponteceso;91,9
15003;Aranga;119,6
15009;Betanzos;24,2
15026;Cesuras;79,7
15027;Coir?s;33,9
15032;Curtis;116,6
15039;Irixoa;68,6
15048;Mi?o;33,0
15063;Oza dos R?os;72,1
15064;Paderne;39,8
15091;Vilarmaior;30,3
15090;Vilasantar;59,2
15001;Abegondo;83,9
15005;Arteixo;93,4
15008;Bergondo;32,7
15017;Cambre;40,7
15021;Carral;48,0
15030;Coru?a, A;37,6
15031;Culleredo;62,3
15058;Oleiros;43,8
15075;Sada;27,4
15015;Cabanas;30,3
15018;Capela, A;58,0
15050;Monfero;171,7
15069;Pontedeume;29,3
15070;Pontes de Garc?a Rodr?guez, As;249,4
15004;Ares;18,3
15022;Cedeira;85,4
15035;Fene;26,3
15036;Ferrol;82,6
15049;Moeche;48,5
15051;Mugardos;12,8
15054;Nar?n;67,0
15055;Neda;23,8
15076;San Sadurni?o;99,7
15081;Somozas, As;70,9
15087;Valdovi?o;88,2
15023;Cee;57,5
15028;Corcubi?n;6,5
15034;Dumbr?a;124,7
15037;Fisterra;29,4
15052;Mux?a;121,3
15020;Carnota;70,9
15053;Muros;72,9
15042;Lousame;93,6
15057;Noia;37,2
15062;Outes;99,7
15071;Porto do Son;94,6
15024;Cerceda;110,9
15038;Frades;81,7
15047;Mes?a;106,8
15059;Ordes;157,3
15060;Oroso;72,1
15084;Tordoia;124,5
15086;Trazo;101,4
15901;Cari?o;46,8
15025;Cerdido;52,7
15044;Ma??n;82,2
15061;Ortigueira;210,0
