"X1.315","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112"
7376,7398.8,7421.6,7444.4,7467.2,7490,7512.8,7535.6,7558.4,7581.2,7604,7621.2,7638.4,7655.6,7672.8,7690,7707.2,7724.4,7741.6,7758.8,7776,7822.2,7868.4,7914.6,7960.8,8007,8053.2,8099.4,8145.6,8191.8,8238,8303.2,8368.4,8433.6,8498.8,8564,8629.2,8694.4,8759.6,8824.8,8890,8821.2,8752.4,8683.6,8614.8,8546,8477.2,8408.4,8339.6,8270.8,8202,8115.3,8028.6,7941.9,7855.2,7768.5,7681.8,7595.1,7508.4,7421.7,7335,7231.7,7128.4,7025.1,6921.8,6818.5,6715.2,6611.9,6508.6,6405.3,6302,6266.54545454545,6231.09090909091,6195.63636363636,6160.18181818182,6124.72727272727,6089.27272727273,6053.81818181818,6018.36363636364,5982.90909090909,5947.45454545455,5912,5865.6,5819.2,5772.8,5726.4,5680,5633.6,5587.2,5540.8,5494.4,5448,5476.1,5504.2,5532.3,5560.4,5588.5,5616.6,5644.7,5672.8,5700.9,5729,5726,5723,5720,5717,5714,5711,5708,5705,5702,5699
7097,7114.4,7131.8,7149.2,7166.6,7184,7201.4,7218.8,7236.2,7253.6,7271,7277.3,7283.6,7289.9,7296.2,7302.5,7308.8,7315.1,7321.4,7327.7,7334,7360.8,7387.6,7414.4,7441.2,7468,7494.8,7521.6,7548.4,7575.2,7602,7757.1,7912.2,8067.3,8222.4,8377.5,8532.6,8687.7,8842.8,8997.9,9153,9180.2,9207.4,9234.6,9261.8,9289,9316.2,9343.4,9370.6,9397.8,9425,9442.2,9459.4,9476.6,9493.8,9511,9528.2,9545.4,9562.6,9579.8,9597,9620.6,9644.2,9667.8,9691.4,9715,9738.6,9762.2,9785.8,9809.4,9833,9772.36363636364,9711.72727272727,9651.09090909091,9590.45454545455,9529.81818181818,9469.18181818182,9408.54545454545,9347.90909090909,9287.27272727273,9226.63636363636,9166,9235.8,9305.6,9375.4,9445.2,9515,9584.8,9654.6,9724.4,9794.2,9864,10755.8,11647.6,12539.4,13431.2,14323,15214.8,16106.6,16998.4,17890.2,18782,19814.4,20846.8,21879.2,22911.6,23944,24976.4,26008.8,27041.2,28073.6,29106
4710,4690.2,4670.4,4650.6,4630.8,4611,4591.2,4571.4,4551.6,4531.8,4512,4528.1,4544.2,4560.3,4576.4,4592.5,4608.6,4624.7,4640.8,4656.9,4673,4703.7,4734.4,4765.1,4795.8,4826.5,4857.2,4887.9,4918.6,4949.3,4980,4982.5,4985,4987.5,4990,4992.5,4995,4997.5,5000,5002.5,5005,4966.3,4927.6,4888.9,4850.2,4811.5,4772.8,4734.1,4695.4,4656.7,4618,4563.4,4508.8,4454.2,4399.6,4345,4290.4,4235.8,4181.2,4126.6,4072,3983.5,3895,3806.5,3718,3629.5,3541,3452.5,3364,3275.5,3187,3141.36363636364,3095.72727272727,3050.09090909091,3004.45454545455,2958.81818181818,2913.18181818182,2867.54545454545,2821.90909090909,2776.27272727273,2730.63636363636,2685,2665.5,2646,2626.5,2607,2587.5,2568,2548.5,2529,2509.5,2490,2472.4,2454.8,2437.2,2419.6,2402,2384.4,2366.8,2349.2,2331.6,2314,2289.6,2265.2,2240.8,2216.4,2192,2167.6,2143.2,2118.8,2094.4,2070
4209,4241.8,4274.6,4307.4,4340.2,4373,4405.8,4438.6,4471.4,4504.2,4537,4532.1,4527.2,4522.3,4517.4,4512.5,4507.6,4502.7,4497.8,4492.9,4488,4524.2,4560.4,4596.6,4632.8,4669,4705.2,4741.4,4777.6,4813.8,4850,4932.1,5014.2,5096.3,5178.4,5260.5,5342.6,5424.7,5506.8,5588.9,5671,5576.3,5481.6,5386.9,5292.2,5197.5,5102.8,5008.1,4913.4,4818.7,4724,4754.9,4785.8,4816.7,4847.6,4878.5,4909.4,4940.3,4971.2,5002.1,5033,5033.9,5034.8,5035.7,5036.6,5037.5,5038.4,5039.3,5040.2,5041.1,5042,4995.36363636364,4948.72727272727,4902.09090909091,4855.45454545455,4808.81818181818,4762.18181818182,4715.54545454545,4668.90909090909,4622.27272727273,4575.63636363636,4529,4520.8,4512.6,4504.4,4496.2,4488,4479.8,4471.6,4463.4,4455.2,4447,4502.6,4558.2,4613.8,4669.4,4725,4780.6,4836.2,4891.8,4947.4,5003,5080.1,5157.2,5234.3,5311.4,5388.5,5465.6,5542.7,5619.8,5696.9,5774
9629,9620,9611,9602,9593,9584,9575,9566,9557,9548,9539,9515.5,9492,9468.5,9445,9421.5,9398,9374.5,9351,9327.5,9304,9364.1,9424.2,9484.3,9544.4,9604.5,9664.6,9724.7,9784.8,9844.9,9905,9967.3,10029.6,10091.9,10154.2,10216.5,10278.8,10341.1,10403.4,10465.7,10528,10522.3,10516.6,10510.9,10505.2,10499.5,10493.8,10488.1,10482.4,10476.7,10471,10512.6,10554.2,10595.8,10637.4,10679,10720.6,10762.2,10803.8,10845.4,10887,11014.9,11142.8,11270.7,11398.6,11526.5,11654.4,11782.3,11910.2,12038.1,12166,12448,12730,13012,13294,13576,13858,14140,14422,14704,14986,15268,15534.6,15801.2,16067.8,16334.4,16601,16867.6,17134.2,17400.8,17667.4,17934,18471.2,19008.4,19545.6,20082.8,20620,21157.2,21694.4,22231.6,22768.8,23306,24038.4,24770.8,25503.2,26235.6,26968,27700.4,28432.8,29165.2,29897.6,30630
9036,9003.2,8970.4,8937.6,8904.8,8872,8839.2,8806.4,8773.6,8740.8,8708,8709.4,8710.8,8712.2,8713.6,8715,8716.4,8717.8,8719.2,8720.6,8722,8724.1,8726.2,8728.3,8730.4,8732.5,8734.6,8736.7,8738.8,8740.9,8743,8908.3,9073.6,9238.9,9404.2,9569.5,9734.8,9900.1,10065.4,10230.7,10396,10431.8,10467.6,10503.4,10539.2,10575,10610.8,10646.6,10682.4,10718.2,10754,10725.6,10697.2,10668.8,10640.4,10612,10583.6,10555.2,10526.8,10498.4,10470,10329.4,10188.8,10048.2,9907.6,9767,9626.4,9485.8,9345.2,9204.6,9064,8876.27272727273,8688.54545454545,8500.81818181818,8313.09090909091,8125.36363636364,7937.63636363636,7749.90909090909,7562.18181818182,7374.45454545455,7186.72727272727,6999,6992.3,6985.6,6978.9,6972.2,6965.5,6958.8,6952.1,6945.4,6938.7,6932,6902.1,6872.2,6842.3,6812.4,6782.5,6752.6,6722.7,6692.8,6662.9,6633,6600.1,6567.2,6534.3,6501.4,6468.5,6435.6,6402.7,6369.8,6336.9,6304
5797,5821.6,5846.2,5870.8,5895.4,5920,5944.6,5969.2,5993.8,6018.4,6043,6041,6039,6037,6035,6033,6031,6029,6027,6025,6023,6035.6,6048.2,6060.8,6073.4,6086,6098.6,6111.2,6123.8,6136.4,6149,6238.2,6327.4,6416.6,6505.8,6595,6684.2,6773.4,6862.6,6951.8,7041,7071.6,7102.2,7132.8,7163.4,7194,7224.6,7255.2,7285.8,7316.4,7347,7261.8,7176.6,7091.4,7006.2,6921,6835.8,6750.6,6665.4,6580.2,6495,6669.3,6843.6,7017.9,7192.2,7366.5,7540.8,7715.1,7889.4,8063.7,8238,8208.45454545455,8178.90909090909,8149.36363636364,8119.81818181818,8090.27272727273,8060.72727272727,8031.18181818182,8001.63636363636,7972.09090909091,7942.54545454545,7913,7622.4,7331.8,7041.2,6750.6,6460,6169.4,5878.8,5588.2,5297.6,5007,4986.3,4965.6,4944.9,4924.2,4903.5,4882.8,4862.1,4841.4,4820.7,4800,4717.2,4634.4,4551.6,4468.8,4386,4303.2,4220.4,4137.6,4054.8,3972
5869,5876.9,5884.8,5892.7,5900.6,5908.5,5916.4,5924.3,5932.2,5940.1,5948,5915.2,5882.4,5849.6,5816.8,5784,5751.2,5718.4,5685.6,5652.8,5620,5617.7,5615.4,5613.1,5610.8,5608.5,5606.2,5603.9,5601.6,5599.3,5597,5669.8,5742.6,5815.4,5888.2,5961,6033.8,6106.6,6179.4,6252.2,6325,6292.8,6260.6,6228.4,6196.2,6164,6131.8,6099.6,6067.4,6035.2,6003,5958.9,5914.8,5870.7,5826.6,5782.5,5738.4,5694.3,5650.2,5606.1,5562,5528.3,5494.6,5460.9,5427.2,5393.5,5359.8,5326.1,5292.4,5258.7,5225,5243.09090909091,5261.18181818182,5279.27272727273,5297.36363636364,5315.45454545455,5333.54545454545,5351.63636363636,5369.72727272727,5387.81818181818,5405.90909090909,5424,5425.9,5427.8,5429.7,5431.6,5433.5,5435.4,5437.3,5439.2,5441.1,5443,5521,5599,5677,5755,5833,5911,5989,6067,6145,6223,6269.9,6316.8,6363.7,6410.6,6457.5,6504.4,6551.3,6598.2,6645.1,6692
8948,8935.8,8923.6,8911.4,8899.2,8887,8874.8,8862.6,8850.4,8838.2,8826,8814.3,8802.6,8790.9,8779.2,8767.5,8755.8,8744.1,8732.4,8720.7,8709,8729.1,8749.2,8769.3,8789.4,8809.5,8829.6,8849.7,8869.8,8889.9,8910,9069.4,9228.8,9388.2,9547.6,9707,9866.4,10025.8,10185.2,10344.6,10504,10536.3,10568.6,10600.9,10633.2,10665.5,10697.8,10730.1,10762.4,10794.7,10827,10766.6,10706.2,10645.8,10585.4,10525,10464.6,10404.2,10343.8,10283.4,10223,10210.8,10198.6,10186.4,10174.2,10162,10149.8,10137.6,10125.4,10113.2,10101,10217.7272727273,10334.4545454545,10451.1818181818,10567.9090909091,10684.6363636364,10801.3636363636,10918.0909090909,11034.8181818182,11151.5454545455,11268.2727272727,11385,11433.6,11482.2,11530.8,11579.4,11628,11676.6,11725.2,11773.8,11822.4,11871,11934.9,11998.8,12062.7,12126.6,12190.5,12254.4,12318.3,12382.2,12446.1,12510,12612.9,12715.8,12818.7,12921.6,13024.5,13127.4,13230.3,13333.2,13436.1,13539
4044,4042.8,4041.6,4040.4,4039.2,4038,4036.8,4035.6,4034.4,4033.2,4032,4048.1,4064.2,4080.3,4096.4,4112.5,4128.6,4144.7,4160.8,4176.9,4193,4220.5,4248,4275.5,4303,4330.5,4358,4385.5,4413,4440.5,4468,4538,4608,4678,4748,4818,4888,4958,5028,5098,5168,5198.9,5229.8,5260.7,5291.6,5322.5,5353.4,5384.3,5415.2,5446.1,5477,5474.2,5471.4,5468.6,5465.8,5463,5460.2,5457.4,5454.6,5451.8,5449,5425.7,5402.4,5379.1,5355.8,5332.5,5309.2,5285.9,5262.6,5239.3,5216,5031,4846,4661,4476,4291,4106,3921,3736,3551,3366,3181,3131.4,3081.8,3032.2,2982.6,2933,2883.4,2833.8,2784.2,2734.6,2685,2668.7,2652.4,2636.1,2619.8,2603.5,2587.2,2570.9,2554.6,2538.3,2522,2489.7,2457.4,2425.1,2392.8,2360.5,2328.2,2295.9,2263.6,2231.3,2199
